cast_id,platform,year,month,obs_date,lat,lon,model_grid_lat,model_grid_lon,model_grid_distance_km,obs_ohc_j_m2,obs_tchp_kj_cm2,obs_d26_m,model_ohc_j_m2,model_tchp_kj_cm2,model_d26_m,delta_ohc_j_m2,delta_tchp_kj_cm2
aoml/4903550/profiles/D4903550_054.nc,4903550,2024,3,20240302,25.203,-89.346,25.223424911499023,-89.3599853515625,2.672,,,,,,,,
aoml/4903551/profiles/D4903551_054.nc,4903551,2024,3,20240302,25.198,-88.266,25.223424911499023,-88.239990234375,3.852,121898933.82588568,12.189893382588568,94.55227872265921,54276883.95173845,5.427688395173845,37.1889820319284,67622049.87414724,6.762204987414724
aoml/4903553/profiles/D4903553_054.nc,4903553,2024,3,20240302,23.116,-83.065,23.106897354125977,-83.0400390625,2.746,,,,,,,,
aoml/4903554/profiles/D4903554_061.nc,4903554,2024,3,20240302,25.456,-84.907,25.44034767150879,-84.8800048828125,3.221,17268983.440835312,1.726898344083531,16.393262156622104,,,,,
aoml/4903563/profiles/D4903563_034.nc,4903563,2024,3,20240302,20.401,-82.02,20.432613372802734,-82.0,4.087,326163805.3388594,32.61638053388594,128.68514894448663,144772358.31589156,14.477235831589155,101.43173127389967,181391447.02296782,18.139144702296782
aoml/4903622/profiles/R4903622_090.nc,4903622,2024,3,20240302,20.424,-95.612,20.432613372802734,-95.5999755859375,1.577,,,,,,,,
aoml/4903232/profiles/D4903232_353.nc,4903232,2024,3,20240307,24.984,-95.76,25.006114959716797,-95.760009765625,2.459,,,,,,,,
aoml/4903240/profiles/D4903240_350.nc,4903240,2024,3,20240307,25.208,-95.196,25.223424911499023,-95.199951171875,1.761,,,,,,,,
aoml/4903248/profiles/D4903248_335.nc,4903248,2024,3,20240307,26.126,-91.371,26.16059112548828,-91.3599853515625,4.0,,,,,,,,
aoml/4903356/profiles/D4903356_213.nc,4903356,2024,3,20240307,28.238,-88.952,28.224010467529297,-88.9599609375,1.74,,,,,,,,
aoml/4903468/profiles/D4903468_106.nc,4903468,2024,3,20240307,26.896,-85.934,26.87641716003418,-85.9200439453125,2.58,67384123.21494046,6.738412321494046,87.93734558895936,5663265.513342956,0.5663265513342955,8.071400446252788,61720857.701597504,6.17208577015975
aoml/4903471/profiles/D4903471_103.nc,4903471,2024,3,20240307,28.992,-87.511,28.996549606323242,-87.52001953125,1.013,,,,,,,,
aoml/4903546/profiles/D4903546_055.nc,4903546,2024,3,20240307,25.919,-91.021,25.944978713989258,-91.0400390625,3.46,,,,,,,,
aoml/4903548/profiles/D4903548_055.nc,4903548,2024,3,20240307,26.486,-85.939,26.519062042236328,-85.9200439453125,4.132,23720518.35416865,2.372051835416865,62.12261253636524,2419904.211808256,0.2419904211808256,6.2152174842821095,21300614.142360393,2.1300614142360392
aoml/4903549/profiles/D4903549_055.nc,4903549,2024,3,20240307,25.371,-88.962,25.36808204650879,-88.9599609375,0.384,2839770.3160382253,0.28397703160382254,39.141861233811525,370603.55781365174,0.03706035578136517,1.8120378688411305,2469166.7582245735,0.24691667582245735
aoml/4903550/profiles/D4903550_055.nc,4903550,2024,3,20240307,24.931,-89.164,24.933591842651367,-89.199951171875,3.636,,,,,,,,
aoml/4903551/profiles/D4903551_055.nc,4903551,2024,3,20240307,25.204,-87.326,25.223424911499023,-87.3599853515625,4.044,,,,,,,,
aoml/4903553/profiles/D4903553_055.nc,4903553,2024,3,20240307,23.161,-82.974,23.180458068847656,-82.9599609375,2.596,264875757.47959498,26.487575747959497,113.80314961957323,53919142.424580455,5.3919142424580455,50.187801474008964,210956615.05501452,21.09566150550145
aoml/4903554/profiles/D4903554_062.nc,4903554,2024,3,20240307,25.256,-84.963,25.223424911499023,-84.9599609375,3.635,342814486.4219591,34.28144864219591,96.96829446431074,261736561.55861,26.173656155860996,80.20628885577763,81077924.86334911,8.107792486334915
aoml/4903232/profiles/D4903232_354.nc,4903232,2024,3,20240312,24.607,-96.048,24.643075942993164,-96.0799560546875,5.15,,,,,,,,
aoml/4903240/profiles/D4903240_351.nc,4903240,2024,3,20240312,25.256,-95.081,25.223424911499023,-95.1199951171875,5.339,,,,,,,,
aoml/4903248/profiles/D4903248_336.nc,4903248,2024,3,20240312,25.926,-91.528,25.944978713989258,-91.52001953125,2.256,,,,,,,,
aoml/4903356/profiles/D4903356_214.nc,4903356,2024,3,20240312,28.235,-88.942,28.224010467529297,-88.9599609375,2.142,,,,,,,,
aoml/4903468/profiles/D4903468_107.nc,4903468,2024,3,20240312,27.157,-85.771,27.16149139404297,-85.760009765625,1.197,3362983.245321492,0.3362983245321492,19.370900133921264,,,,,
aoml/4903471/profiles/D4903471_104.nc,4903471,2024,3,20240312,28.998,-87.517,28.996549606323242,-87.52001953125,0.335,,,,,,,,
aoml/4903546/profiles/D4903546_056.nc,4903546,2024,3,20240312,25.771,-91.554,25.801015853881836,-91.52001953125,4.766,,,,,,,,
aoml/4903548/profiles/D4903548_056.nc,4903548,2024,3,20240312,26.44,-85.696,26.44745635986328,-85.679931640625,1.802,,,,,,,,
aoml/4903549/profiles/D4903549_056.nc,4903549,2024,3,20240312,25.244,-88.729,25.223424911499023,-88.719970703125,2.462,,,,,,,,
aoml/4903550/profiles/D4903550_056.nc,4903550,2024,3,20240312,24.79,-88.747,24.788419723510742,-88.719970703125,2.734,,,,,,,,
aoml/4903551/profiles/D4903551_056.nc,4903551,2024,3,20240312,25.967,-86.642,25.944978713989258,-86.6400146484375,2.457,,,,,,,,
aoml/4903552/profiles/D4903552_056.nc,4903552,2024,3,20240312,24.426,-83.958,24.424745559692383,-83.9200439453125,3.845,,,,7968137.86701173,0.796813786701173,23.691476742131698,,
aoml/4903553/profiles/D4903553_056.nc,4903553,2024,3,20240312,23.206,-82.968,23.180458068847656,-82.9599609375,2.957,187730126.3796968,18.77301263796968,74.92620199964624,330565194.49042684,33.05651944904268,94.54211280239355,-142835068.11073005,-14.283506811073003
aoml/4903559/profiles/D4903559_033.nc,4903559,2024,3,20240312,20.503,-83.561,20.5075626373291,-83.5999755859375,4.091,535812935.6965824,53.581293569658236,151.1982198174016,279374271.2347409,27.93742712347409,128.76788793274693,256438664.46184146,25.643866446184145
aoml/4903563/profiles/D4903563_035.nc,4903563,2024,3,20240312,20.704,-82.29,20.732187271118164,-82.320068359375,4.428,505711913.680458,50.571191368045795,127.28904233263057,282203284.9012377,28.220328490123773,92.9093567957065,223508628.77922028,22.350862877922022
aoml/4903232/profiles/D4903232_355.nc,4903232,2024,3,20240317,24.468,-96.167,24.4975643157959,-96.1600341796875,3.362,,,,,,,,
aoml/4903240/profiles/D4903240_352.nc,4903240,2024,3,20240317,25.279,-95.002,25.295774459838867,-95.0400390625,4.255,,,,,,,,
aoml/4903248/profiles/D4903248_337.nc,4903248,2024,3,20240317,26.006,-91.431,26.01689338684082,-91.43994140625,1.505,,,,,,,,
aoml/4903356/profiles/D4903356_215.nc,4903356,2024,3,20240317,28.232,-88.943,28.224010467529297,-88.9599609375,1.884,,,,,,,,
aoml/4903468/profiles/D4903468_108.nc,4903468,2024,3,20240317,27.369,-85.853,27.374820709228516,-85.8399658203125,1.441,5914014.311145477,0.5914014311145477,7.017785960008087,,,,,
aoml/4903471/profiles/D4903471_105.nc,4903471,2024,3,20240317,28.98,-87.554,28.996549606323242,-87.52001953125,3.783,,,,,,,,
aoml/4903546/profiles/D4903546_057.nc,4903546,2024,3,20240317,25.675,-91.981,25.656879425048828,-92.0,2.772,,,,,,,,
aoml/4903548/profiles/D4903548_057.nc,4903548,2024,3,20240317,26.417,-85.527,26.44745635986328,-85.52001953125,3.457,,,,,,,,
aoml/4903549/profiles/D4903549_057.nc,4903549,2024,3,20240317,25.633,-88.915,25.656879425048828,-88.8800048828125,4.4,,,,1801951.7386085214,0.18019517386085213,3.1098125957921137,,
aoml/4903550/profiles/D4903550_057.nc,4903550,2024,3,20240317,25.161,-88.314,25.151031494140625,-88.320068359375,1.266,,,,,,,,
aoml/4903551/profiles/D4903551_057.nc,4903551,2024,3,20240317,26.048,-85.746,26.01689338684082,-85.760009765625,3.731,,,,,,,,
aoml/4903552/profiles/D4903552_057.nc,4903552,2024,3,20240317,24.389,-83.944,24.424745559692383,-83.9200439453125,4.656,57981736.345265284,5.7981736345265285,16.94455547729213,5134144.481347557,0.5134144481347557,7.162274689657822,52847591.86391772,5.2847591863917724
